Kraj_odlotu;Data;Przewoznik;Czy_przesiadka;Cena;Godzina_odlotu;Miejsce_odlotu;Godzina_przylotu;Miejsce_przylotu
Scotland; 18/05/19; easyJet; 1; 4 zł; 25 Ed; nburgh EDI; 11:15; Edinburgh EDI U26962
Scotland; 08/05/19; Ryanair; 0; 9 zł; 14:10; London STNLondon (Stansted) STN; 07:55; London STNLondon (Stansted) STN U2232
Scotland; 15/05/19; Ryanair; 1; 9 zł; 10:25; Karlsruhe FKBKarlsruhe-Baden Baden FKB; 11:30; Edinburgh EDI
Scotland; 15/05/19; Ryanair; 1; 4 zł; 00 Ed; nburgh EDI; 11:30; Edinburgh EDI FR1047
Scotland; 24/05/19; Ryanair; 1; 4 zł; 13:05; London STNLondon (Stansted) STN; 08:30; London STNLondon (Stansted) STN U2232
Scotland; 29/05/19; Ryanair; 1; 4 zł; 14:00; Eindhoven EIN; 14:40; Edinburgh EDI
Scotland; 29/05/19; Ryanair; 1; 5 zł; 25 Gl; sgow GLA; 14:40; Edinburgh EDI FR1108
Scotland; 22/05/19; easyJet; 1; 5 zł; 22:20; Dublin DUB; 16:25; Dublin DUB FR5773
Scotland; 30/05/19; Ryanair; 0; 4 zł; 07:45; London SENLondon (Southend) SEN; 23:45; Glasgow GLA
Scotland; 01/05/19; easyJet; 0; 5 zł; 35 Ed; nburgh EDI; 23:45; Glasgow GLA U26848
Scotland; 05/05/19; easyJet; 1; 4 zł; 15 Me; mingen FMM; 16:50; Memmingen FMM FR3178
Scotland; 05/05/19; easyJet; 1; 1 zł; 15:15; Memmingen FMM; 22:10; Edinburgh EDI
Scotland; 02/05/19; easyJet; 1; 19 zł; 00 Ed; nburgh EDI; 22:10; Edinburgh EDI U2241
Scotland; 09/05/19; easyJet; 0; 7 zł; 25 Lo; don LTNLondon (Luton) LTN; 08:25; London LTNLondon (Luton) LTN U212
Scotland; 24/04/19; easyJet; 1; 5 zł; 15:30; Beziers BZR; 09:20; Beziers BZR FR3456
Scotland; 24/04/19; Ryanair; 1; 9 zł; 40 Ed; nburgh EDI; 17:00; Edinburgh EDI FR7835
Scotland; 01/05/19; Ryanair; 1; 4 zł; 40 Am; terdam AMS; 22:15; Amsterdam AMS U26925
Scotland; 07/10/19; easyJet; 0; 5 zł; 25 Ed; nburgh EDI; 19:10; Edinburgh EDI U26926
Scotland; 11/10/19; Ryanair; 0; 9 zł; 16:10; Hamburg HAM; 10:10; Hamburg HAM FR1078
