Scrap_date;Scrap_time;Country_from;Country_to;Flight_id;There_or_Back;Flight_date;Airline;Change;Price;Depart_hour;Depart_from;Arrival_hour;Arrive_to
2019-05-14;18:58;Greece;Russia;2980;There;07/02/20;Pegasus;1;49.99;11:10;Athens ATH;13:30;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2980;There;07/02/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2980;Back;15/02/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2980;Back;15/02/20;Pegasus;1;26.00;10:00;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;10:30;Athens ATH
2019-05-14;18:58;Greece;Russia;2981;There;12/02/20;Pegasus;1;49.99;11:10;Athens ATH;13:30;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2981;There;12/02/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2981;Back;20/02/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2981;Back;20/02/20;Pegasus;1;26.00;16:35;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;17:05;Athens ATH
2019-05-14;18:58;Greece;Russia;2982;There;08/02/20;Pegasus;1;49.99;11:10;Athens ATH;13:30;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2982;There;08/02/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2982;Back;16/02/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2982;Back;16/02/20;Pegasus;1;26.00;16:35;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;17:05;Athens ATH
2019-05-14;18:58;Greece;Russia;2983;There;23/01/20;Pegasus;1;49.99;17:45;Athens ATH;20:05;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2983;There;23/01/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2983;Back;31/01/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2983;Back;31/01/20;Pegasus;1;26.00;10:00;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;10:30;Athens ATH
2019-05-14;18:58;Greece;Russia;2984;There;19/01/20;Pegasus;1;49.99;17:45;Athens ATH;20:05;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2984;There;19/01/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2984;Back;23/01/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2984;Back;23/01/20;Pegasus;1;26.00;16:35;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;17:05;Athens ATH
2019-05-14;18:58;Greece;Russia;2985;There;11/02/20;Pegasus;1;49.99;17:45;Athens ATH;20:05;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2985;There;11/02/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2985;Back;19/02/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2985;Back;19/02/20;Pegasus;1;26.00;10:00;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;10:30;Athens ATH
2019-05-14;18:58;Greece;Russia;2986;There;19/01/20;Pegasus;1;49.99;17:45;Athens ATH;20:05;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2986;There;19/01/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2986;Back;25/01/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2986;Back;25/01/20;Pegasus;1;26.00;10:00;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;10:30;Athens ATH
2019-05-14;18:58;Greece;Russia;2987;There;23/01/20;Pegasus;1;49.99;17:45;Athens ATH;20:05;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2987;There;23/01/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2987;Back;29/01/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2987;Back;29/01/20;Pegasus;1;26.00;10:00;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;10:30;Athens ATH
2019-05-14;18:58;Greece;Russia;2988;There;07/02/20;Pegasus;1;49.99;11:10;Athens ATH;13:30;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2988;There;07/02/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2988;Back;12/02/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2988;Back;12/02/20;Pegasus;1;26.00;10:00;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;10:30;Athens ATH
2019-05-14;18:58;Greece;Russia;2989;There;24/01/20;Pegasus;1;49.99;11:10;Athens ATH;13:30;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2989;There;24/01/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2989;Back;29/01/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2989;Back;29/01/20;Pegasus;1;26.00;10:00;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;10:30;Athens ATH
2019-05-14;18:58;Greece;Russia;2990;There;08/02/20;Pegasus;1;49.99;11:10;Athens ATH;13:30;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2990;There;08/02/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2990;Back;15/02/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2990;Back;15/02/20;Pegasus;1;26.00;10:00;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;10:30;Athens ATH
2019-05-14;18:58;Greece;Russia;2991;There;17/01/20;Pegasus;1;49.99;11:10;Athens ATH;13:30;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2991;There;17/01/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2991;Back;23/01/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2991;Back;23/01/20;Pegasus;1;26.00;16:35;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;17:05;Athens ATH
2019-05-14;18:58;Greece;Russia;2992;There;17/01/20;Pegasus;1;49.99;11:10;Athens ATH;13:30;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2992;There;17/01/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2992;Back;25/01/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
2019-05-14;18:58;Greece;Russia;2992;Back;25/01/20;Pegasus;1;26.00;10:00;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;10:30;Athens ATH
2019-05-14;18:58;Greece;Russia;2993;There;08/02/20;Pegasus;1;49.99;11:10;Athens ATH;13:30;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC1192
2019-05-14;18:58;Greece;Russia;2993;There;08/02/20;Pegasus;1;63.00;23:25;Istanbul SAWIstanbul (Sabiha Gokcen) SAW;01:50;Grozny GRV
2019-05-14;18:58;Greece;Russia;2993;Back;12/02/20;Pegasus;1;69.99;03:35;Grozny GRV;06:15;Istanbul SAWIstanbul (Sabiha Gokcen) SAW PC401
