Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
5; France; Bordeaux BOD; 07:25; Nantes NTE
14/05/19; Laudamotion; 0; 9.99; 21:05; France; Nice NCE; 22:30; Stuttgart STR
21/05/19; Laudamotion; 0; 9.99; 19:05; France; Stuttgart STR; 20:30; Nice NCE
15/05/19; Ryanair; 0; 9.99; 17:20; France; Bordeaux BOD; 18:55; Brussels CRLBrussels (Charleroi) CRL
22/05/19; Ryanair; 0; 9.99; 15:20; France; Brussels CRLBrussels (Charleroi) CRL; 16:55; Bordeaux BOD
03/05/19; Ryanair; 0; 4.99; 09:50; France; Beziers BZR; 10:50; London LTNLondon (Luton) LTN
08/05/19; Ryanair; 0; 15.02; 06:25; France; London LTNLondon (Luton) LTN; 09:20; Beziers BZR
29/04/19; Ryanair; 0; 4.99; 11:35; France; Bergerac EGC; 12:20; London STNLondon (Stansted) STN
06/05/19; Ryanair; 0; 15.02; 08:25; France; London STNLondon (Stansted) STN; 11:10; Bergerac EGC
16/05/19; Ryanair; 0; 9.99; 18:25; France; Bordeaux BOD; 19:10; London STNLondon (Stansted) STN
22/05/19; Ryanair; 0; 11.55; 15:50; France; London STNLondon (Stansted) STN; 18:35; Bordeaux BOD
23/05/19; Ryanair; 0; 9.99; 16:55; France; Limoges LIG; 17:35; East Midla EMA
30/05/19; Ryanair; 0; 11.55; 13:45; France; East Midla EMA; 16:30; Limoges LIG
22/05/19; Ryanair; 0; 9.99; 12:35; France; Brive BVE; 13:20; London STNLondon (Stansted) STN
29/05/19; Ryanair; 0; 11.55; 09:30; France; London STNLondon (Stansted) STN; 12:10; Brive BVE
09/05/19; Ryanair; 0; 9.99; 09:40; France; Limoges LIG; 10:30; Leeds LBA
16/05/19; Ryanair; 0; 11.55; 06:20; France; Leeds LBA; 09:15; Limoges LIG
21/05/19; Ryanair; 0; 9.99; 15:05; France; Dinard DNR; 15:20; East Midla EMA
28/05/19; Ryanair; 0; 11.55; 12:25; France; East Midla EMA; 14:40; Dinard DNR
15/05/19; Ryanair; 0; 9.99; 16:40; France; Nantes NTE; 17:10; Manchester MAN
22/05/19; Ryanair; 0; 11.55; 13:45; France; Manchester MAN; 16:15; Nantes NTE
22/05/19; Ryanair; 0; 9.99; 10:10; France; Bergerac EGC; 10:55; East Midla EMA
29/05/19; Ryanair; 0; 11.55; 07:00; France; East Midla EMA; 09:45; Bergerac EGC
28/04/19; Ryanair; 0; 9.99; 23:50; France; Bordeaux BOD; 00:40; Manchester MAN
05/05/19; Ryanair; 0; 11.55; 20:35; France; Manchester MAN; 23:25; Bordeaux BOD
01/05/19; Ryanair; 0; 9.99; 17:40; France; Dinard DNR; 17:50; London STNLondon (Stansted) STN
05/05/19; Ryanair; 0; 11.55; 07:15; France; London STNLondon (Stansted) STN; 09:30; Dinard DNR
23/05/19; Ryanair; 0; 9.99; 18:00; France; Limoges LIG; 18:40; London STNLondon (Stansted) STN
28/05/19; Ryanair; 0; 11.55; 09:50; France; London STNLondon (Stansted) STN; 12:30; Limoges LIG
14/05/19; Ryanair; 0; 9.99; 17:35; France; Carcassonn CCF; 18:35; London STNLondon (Stansted) STN
21/05/19; Ryanair; 0; 11.55; 14:10; France; London STNLondon (Stansted) STN; 17:10; Carcassonn CCF
29/04/19; Ryanair; 0; 4.99; 16:50; France; Clermont CFEClermont-Ferrand CFE; 17:30; London STNLondon (Stansted) STN
06/05/19; Ryanair; 0; 17.33; 13:40; France; London STNLondon (Stansted) STN; 16:25; Clermont CFEClermont-Ferrand CFE
14/05/19; Ryanair; 0; 14.99; 13:10; France; Lille LIL; 14:50; Marseille MRS
21/05/19; Ryanair; 0; 8.01; 11:10; France; Marseille MRS; 12:45; Lille LIL
22/05/19; Ryanair; 0; 12.99; 11:05; France; Brest BES; 12:45; Fez FEZ
29/05/19; Ryanair; 0; 10.08; 06:00; France; Fez FEZ; 10:40; Brest BES
30/04/19; Ryanair; 0; 5.99; 17:35; France; Nice NCE; 18:35; London STNLondon (Stansted) STN
08/05/19; Ryanair; 0; 17.33; 18:20; France; London STNLondon (Stansted) STN; 21:20; Nice NCE
01/05/19; Ryanair; 1; 9.99; 08:00; Bordeaux BOD; 16:15; Nantes NTE
01/05/19; Ryanair; 1; 11.55; 13:45; France; Manchester MAN; 08:50; Manchester MAN FR3087
06/05/19; Ryanair; 1; 1.99; 07:55; France; Nantes NTE; 08:55; Bordeaux BOD
01/05/19; Ryanair; 1; 1.99; 07:50; Nantes NTE; 15:25; London STNLondon (Stansted) STN
01/05/19; Ryanair; 1; 9.99; 14:40; France; Bordeaux BOD; 08:50; Bordeaux BOD FR6550
08/05/19; Ryanair; 1; 11.55; 13:10; France; London STNLondon (Stansted) STN; 15:30; Nantes NTE
01/05/19; Ryanair; 1; 1.99; 06:25; Bordeaux BOD; 17:10; Manchester MAN
01/05/19; Ryanair; 1; 9.99; 16:40; France; Nantes NTE; 07:25; Nantes NTE FR6549
08/05/19; Ryanair; 1; 11.55; 09:15; France; Manchester MAN; 12:05; Bordeaux BOD
15/05/19; Ryanair; 0; 1.99; 07:50; France; Nantes NTE; 08:50; Bordeaux BOD
22/05/19; Ryanair; 1; 9.99; 08:00; Bordeaux BOD; 16:15; Nantes NTE
22/05/19; Ryanair; 1; 11.55; 13:45; France; Manchester MAN; 08:50; Manchester MAN FR3087
02/05/19; Ryanair; 1; 4.99; 14:15; France; Bordeaux BOD; 16:45; Copenhagen CPH
08/05/19; Ryanair; 1; 9.78; 08:40; Copenhagen CPH; 16:55; Bordeaux BOD
08/05/19; Ryanair; 1; 9.99; 15:20; France; Brussels CRLBrussels (Charleroi) CRL; 10:20; Brussels CRLBrussels (Charleroi) CRL FR200
15/05/19; Wizz Air; 1; 14.99; 16:10; France; Nice NCE; 17:55; Vienna VIE
20/05/19; Wizz Air; 0; 9.99; 09:40; France; Vienna VIE; 11:30; Nice NCE
29/05/19; Ryanair; 0; 9.99; 06:15; France; Marseille MRS; 07:05; Ouarzazate OZZ
05/06/19; Ryanair; 0; 15.35; 07:30; France; Ouarzazate OZZ; 12:20; Marseille MRS
08/05/19; Ryanair; 0; 12.99; 12:55; France; Bordeaux BOD; 12:55; Tangier TNG
15/05/19; Ryanair; 0; 12.85; 13:20; France; Tangier TNG; 17:20; Bordeaux BOD
20/05/19; Ryanair; 0; 12.99; 23:00; France; Brive BVE; 23:45; Porto OPO
24/05/19; Ryanair; 0; 12.99; 06:15; France; Porto OPO; 09:00; Brive BVE
06/05/19; Ryanair; 0; 12.99; 20:05; France; Toulouse TLS; 22:20; Berlin SXFBerlin (Schonefeld) SXF
13/05/19; Ryanair; 0; 12.99; 17:25; France; Berlin SXFBerlin (Schonefeld) SXF; 19:40; Toulouse TLS
16/05/19; Ryanair; 0; 12.99; 12:50; France; Beziers BZR; 14:35; Brussels CRLBrussels (Charleroi) CRL
21/05/19; Ryanair; 0; 12.99; 13:40; France; Brussels CRLBrussels (Charleroi) CRL; 15:20; Beziers BZR
23/05/19; Ryanair; 0; 12.99; 08:10; France; Nantes NTE; 09:50; Valencia VLC
30/05/19; Ryanair; 0; 12.99; 06:05; France; Valencia VLC; 07:45; Nantes NTE
