Scrap_date;Scrap_time;Country_from;Country_to;Flight_id;There_or_Back;Flight_date;Airline;Change;Price;Depart_hour;Depart_from;Arrival_hour;Arrive_to
2019-05-09;21:18;Austria;Austria;83;Back;02/07/19;easyJet;1;37.91;15:00;Berlin TXLBerlin (Tegel) TXL;16:20;Graz GRZ
2019-05-09;21:18;Austria;Austria;84;There;15/10/19;easyJet;1;19.89;17:00;Graz GRZ;18:25;Berlin TXLBerlin (Tegel) TXL U25728
2019-05-09;21:18;Austria;Austria;84;There;15/10/19;easyJet;1;20.74;19:25;Berlin TXLBerlin (Tegel) TXL;20:45;Vienna VIE
2019-05-09;21:18;Austria;Austria;84;Back;22/10/19;easyJet;1;18.88;11:25;Vienna VIE;12:45;Berlin TXLBerlin (Tegel) TXL U25844
2019-05-09;21:18;Austria;Austria;84;Back;22/10/19;easyJet;1;20.74;15:00;Berlin TXLBerlin (Tegel) TXL;16:20;Graz GRZ
2019-05-09;21:18;Austria;Austria;85;There;31/08/19;easyJet;1;14.33;10:30;Graz GRZ;11:55;Berlin TXLBerlin (Tegel) TXL U25728
2019-05-09;21:18;Austria;Austria;85;There;31/08/19;easyJet;1;25.28;12:45;Berlin TXLBerlin (Tegel) TXL;14:05;Vienna VIE
2019-05-09;21:18;Austria;Austria;85;Back;05/09/19;easyJet;1;21.40;08:20;Vienna VIE;09:35;Berlin TXLBerlin (Tegel) TXL U25842
2019-05-09;21:18;Austria;Austria;85;Back;05/09/19;easyJet;1;20.74;15:00;Berlin TXLBerlin (Tegel) TXL;16:20;Graz GRZ
2019-05-09;21:18;Austria;Austria;86;There;05/10/19;easyJet;1;16.86;10:30;Graz GRZ;11:55;Berlin TXLBerlin (Tegel) TXL U25728
2019-05-09;21:18;Austria;Austria;86;There;05/10/19;easyJet;1;23.20;12:45;Berlin TXLBerlin (Tegel) TXL;14:05;Vienna VIE
2019-05-09;21:18;Austria;Austria;86;Back;10/10/19;easyJet;1;21.40;08:20;Vienna VIE;09:35;Berlin TXLBerlin (Tegel) TXL U25842
2019-05-09;21:18;Austria;Austria;86;Back;10/10/19;easyJet;1;20.74;15:00;Berlin TXLBerlin (Tegel) TXL;16:20;Graz GRZ
2019-05-09;21:18;Austria;Austria;87;There;06/11/19;easyJet;1;20.99;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;87;There;06/11/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;87;Back;10/11/19;easyJet;1;25.49;17:00;Salzburg SZG;18:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;87;Back;10/11/19;easyJet;1;17.87;19:40;Berlin SXFBerlin (Schonefeld) SXF;21:00;Vienna VIE
2019-05-09;21:18;Austria;Austria;88;There;17/10/19;Laudamotion;1;24.99;07:05;Vienna VIE;09:30;Palma Mall PMI OE502
2019-05-09;21:18;Austria;Austria;88;There;17/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;88;Back;21/10/19;easyJet;1;21.40;08:10;Salzburg SZG;09:30;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;88;Back;21/10/19;easyJet;1;11.14;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;89;There;30/10/19;easyJet;1;16.49;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;89;There;30/10/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;89;Back;03/11/19;easyJet;1;26.49;17:00;Salzburg SZG;18:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;89;Back;03/11/19;easyJet;1;22.37;19:40;Berlin SXFBerlin (Schonefeld) SXF;21:00;Vienna VIE
2019-05-09;21:18;Austria;Austria;90;There;21/10/19;easyJet;1;21.40;08:10;Salzburg SZG;09:30;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;90;There;21/10/19;easyJet;1;11.14;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;90;Back;25/10/19;Laudamotion;1;26.51;05:30;Vienna VIE;07:55;Palma Mall PMI OE500
2019-05-09;21:18;Austria;Austria;90;Back;25/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;91;There;13/11/19;easyJet;1;22.99;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;91;There;13/11/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;91;Back;17/11/19;easyJet;1;25.49;17:00;Salzburg SZG;18:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;91;Back;17/11/19;easyJet;1;17.87;19:40;Berlin SXFBerlin (Schonefeld) SXF;21:00;Vienna VIE
2019-05-09;21:18;Austria;Austria;92;There;20/11/19;easyJet;1;22.99;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;92;There;20/11/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;92;Back;24/11/19;easyJet;1;25.49;17:00;Salzburg SZG;18:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;92;Back;24/11/19;easyJet;1;17.87;19:40;Berlin SXFBerlin (Schonefeld) SXF;21:00;Vienna VIE
2019-05-09;21:18;Austria;Austria;93;There;22/10/19;Laudamotion;1;24.99;15:30;Salzburg SZG;17:30;Palma Mall PMI OE542
2019-05-09;21:18;Austria;Austria;93;There;22/10/19;Laudamotion;1;24.99;20:15;Palma Mall PMI;22:35;Vienna VIE
2019-05-09;21:18;Austria;Austria;93;Back;30/10/19;easyJet;1;16.49;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;93;Back;30/10/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;94;There;23/10/19;Laudamotion;1;24.99;15:20;Salzburg SZG;17:20;Palma Mall PMI OE542
2019-05-09;21:18;Austria;Austria;94;There;23/10/19;Laudamotion;1;24.99;20:40;Palma Mall PMI;23:00;Vienna VIE
2019-05-09;21:18;Austria;Austria;94;Back;30/10/19;easyJet;1;16.49;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;94;Back;30/10/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;95;There;24/10/19;Laudamotion;1;24.99;15:20;Salzburg SZG;17:20;Palma Mall PMI OE542
2019-05-09;21:18;Austria;Austria;95;There;24/10/19;Laudamotion;1;24.99;20:45;Palma Mall PMI;23:05;Vienna VIE
2019-05-09;21:18;Austria;Austria;95;Back;30/10/19;easyJet;1;16.49;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;95;Back;30/10/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;96;There;25/10/19;Laudamotion;1;24.99;15:20;Salzburg SZG;17:20;Palma Mall PMI OE542
2019-05-09;21:18;Austria;Austria;96;There;25/10/19;Laudamotion;1;24.99;22:25;Palma Mall PMI;00:45;Vienna VIE
2019-05-09;21:18;Austria;Austria;96;Back;30/10/19;easyJet;1;16.49;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;96;Back;30/10/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;97;There;12/06/19;easyJet;1;14.33;11:25;Vienna VIE;12:45;Berlin TXLBerlin (Tegel) TXL U25844
2019-05-09;21:18;Austria;Austria;97;There;12/06/19;Eurowings;1;39.99;15:15;Berlin TXLBerlin (Tegel) TXL;16:35;Salzburg SZG
2019-05-09;21:18;Austria;Austria;97;Back;17/06/19;easyJet;1;21.40;08:10;Salzburg SZG;09:30;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;97;Back;17/06/19;easyJet;1;9.12;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;98;There;11/07/19;easyJet;1;24.94;08:20;Vienna VIE;09:35;Berlin TXLBerlin (Tegel) TXL U25842
2019-05-09;21:18;Austria;Austria;98;There;11/07/19;Eurowings;1;29.99;10:30;Berlin TXLBerlin (Tegel) TXL;11:50;Salzburg SZG
2019-05-09;21:18;Austria;Austria;98;Back;15/07/19;easyJet;1;17.87;14:50;Salzburg SZG;16:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;98;Back;15/07/19;easyJet;1;13.67;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;99;There;07/10/19;easyJet;1;21.40;08:10;Salzburg SZG;09:30;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;99;There;07/10/19;easyJet;1;13.67;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;99;Back;11/10/19;Laudamotion;1;26.51;05:30;Vienna VIE;07:55;Palma Mall PMI OE500
2019-05-09;21:18;Austria;Austria;99;Back;11/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;100;There;07/10/19;easyJet;1;21.40;08:10;Salzburg SZG;09:30;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;100;There;07/10/19;easyJet;1;13.67;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;100;Back;12/10/19;Laudamotion;1;26.51;06:35;Vienna VIE;09:00;Palma Mall PMI OE500
2019-05-09;21:18;Austria;Austria;100;Back;12/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;101;There;12/06/19;easyJet;1;16.86;08:20;Vienna VIE;09:35;Berlin TXLBerlin (Tegel) TXL U25842
2019-05-09;21:18;Austria;Austria;101;There;12/06/19;Eurowings;1;39.99;15:15;Berlin TXLBerlin (Tegel) TXL;16:35;Salzburg SZG
2019-05-09;21:18;Austria;Austria;101;Back;17/06/19;easyJet;1;21.40;08:10;Salzburg SZG;09:30;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;101;Back;17/06/19;easyJet;1;9.12;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;102;There;14/10/19;easyJet;1;25.95;08:10;Salzburg SZG;09:30;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;102;There;14/10/19;easyJet;1;13.67;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;102;Back;18/10/19;Laudamotion;1;24.99;05:30;Vienna VIE;07:55;Palma Mall PMI OE500
2019-05-09;21:18;Austria;Austria;102;Back;18/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;103;There;17/10/19;Laudamotion;1;24.99;07:05;Vienna VIE;09:30;Palma Mall PMI OE502
2019-05-09;21:18;Austria;Austria;103;There;17/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;103;Back;24/10/19;easyJet;1;25.95;13:50;Salzburg SZG;15:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;103;Back;24/10/19;easyJet;1;13.67;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:20;Vienna VIE
2019-05-09;21:18;Austria;Austria;104;There;18/10/19;Laudamotion;1;24.99;05:30;Vienna VIE;07:55;Palma Mall PMI OE500
2019-05-09;21:18;Austria;Austria;104;There;18/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;104;Back;24/10/19;easyJet;1;25.95;13:50;Salzburg SZG;15:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;104;Back;24/10/19;easyJet;1;13.67;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:20;Vienna VIE
2019-05-09;21:18;Austria;Austria;105;There;03/10/19;Laudamotion;1;30.03;07:05;Vienna VIE;09:30;Palma Mall PMI OE502
2019-05-09;21:18;Austria;Austria;105;There;03/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;105;Back;07/10/19;easyJet;1;21.40;08:10;Salzburg SZG;09:30;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;105;Back;07/10/19;easyJet;1;13.67;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;106;There;20/11/19;easyJet;1;22.99;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;106;There;20/11/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;106;Back;25/11/19;Ryanair;1;26.61;10:30;Salzburg SZG;11:30;London STNLondon (Stansted) STN FR305
2019-05-09;21:18;Austria;Austria;106;Back;25/11/19;Laudamotion;1;25.52;19:45;London STNLondon (Stansted) STN;22:50;Vienna VIE
2019-05-09;21:18;Austria;Austria;107;There;13/11/19;easyJet;1;22.99;08:55;Vienna VIE;10:10;Berlin SXFBerlin (Schonefeld) SXF U24732
2019-05-09;21:18;Austria;Austria;107;There;13/11/19;easyJet;1;17.87;14:05;Berlin SXFBerlin (Schonefeld) SXF;15:15;Salzburg SZG
2019-05-09;21:18;Austria;Austria;107;Back;18/11/19;Ryanair;1;26.61;10:30;Salzburg SZG;11:30;London STNLondon (Stansted) STN FR305
2019-05-09;21:18;Austria;Austria;107;Back;18/11/19;Laudamotion;1;25.52;19:45;London STNLondon (Stansted) STN;22:50;Vienna VIE
2019-05-09;21:18;Austria;Austria;108;There;11/07/19;easyJet;1;24.94;08:20;Vienna VIE;09:35;Berlin TXLBerlin (Tegel) TXL U25842
2019-05-09;21:18;Austria;Austria;108;There;11/07/19;Eurowings;1;29.99;10:30;Berlin TXLBerlin (Tegel) TXL;11:50;Salzburg SZG
2019-05-09;21:18;Austria;Austria;108;Back;18/07/19;easyJet;1;19.89;14:50;Salzburg SZG;16:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;108;Back;18/07/19;easyJet;1;18.21;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:20;Vienna VIE
2019-05-09;21:18;Austria;Austria;109;There;17/06/19;easyJet;1;21.40;08:10;Salzburg SZG;09:30;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;109;There;17/06/19;easyJet;1;9.12;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:25;Vienna VIE
2019-05-09;21:18;Austria;Austria;109;Back;22/06/19;easyJet;1;14.33;08:20;Vienna VIE;09:35;Berlin TXLBerlin (Tegel) TXL U25842
2019-05-09;21:18;Austria;Austria;109;Back;22/06/19;Eurowings;1;49.99;10:30;Berlin TXLBerlin (Tegel) TXL;11:50;Salzburg SZG
2019-05-09;21:18;Austria;Austria;110;There;17/10/19;easyJet;1;34.03;13:50;Salzburg SZG;15:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;110;There;17/10/19;easyJet;1;11.14;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:20;Vienna VIE
2019-05-09;21:18;Austria;Austria;110;Back;25/10/19;Laudamotion;1;26.51;05:30;Vienna VIE;07:55;Palma Mall PMI OE500
2019-05-09;21:18;Austria;Austria;110;Back;25/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;111;There;03/10/19;easyJet;1;34.03;13:50;Salzburg SZG;15:10;Berlin SXFBerlin (Schonefeld) SXF U24796
2019-05-09;21:18;Austria;Austria;111;There;03/10/19;easyJet;1;13.67;18:55;Berlin SXFBerlin (Schonefeld) SXF;20:20;Vienna VIE
2019-05-09;21:18;Austria;Austria;111;Back;11/10/19;Laudamotion;1;26.51;05:30;Vienna VIE;07:55;Palma Mall PMI OE500
2019-05-09;21:18;Austria;Austria;111;Back;11/10/19;Laudamotion;1;24.99;12:40;Palma Mall PMI;14:45;Salzburg SZG
2019-05-09;21:18;Austria;Austria;112;There;05/06/19;Laudamotion;1;24.99;15:20;Salzburg SZG;17:20;Palma Mall PMI OE542
2019-05-09;21:18;Austria;Austria;112;There;05/06/19;Laudamotion;1;19.99;20:40;Palma Mall PMI;23:00;Vienna VIE
2019-05-09;21:18;Austria;Austria;112;Back;12/06/19;easyJet;1;14.33;11:25;Vienna VIE;12:45;Berlin TXLBerlin (Tegel) TXL U25844
2019-05-09;21:18;Austria;Austria;112;Back;12/06/19;Eurowings;1;39.99;15:15;Berlin TXLBerlin (Tegel) TXL;16:35;Salzburg SZG
2019-05-09;21:18;Austria;Austria;113;There;19/05/19;Eurowings;1;49.99;06:15;Vienna VIE;08:45;Palma Mall PMI EW5912
2019-05-09;21:18;Austria;Austria;113;There;19/05/19;Eurowings;1;49.99;13:00;Palma Mall PMI;15:15;Linz LNZ
2019-05-09;21:18;Austria;Austria;113;Back;24/05/19;Eurowings;1;29.99;17:35;Linz LNZ;19:50;Palma Mall PMI EW6867
2019-05-09;21:18;Austria;Austria;113;Back;24/05/19;Laudamotion;1;9.99;22:25;Palma Mall PMI;00:45;Vienna VIE
2019-05-09;21:18;Austria;Austria;114;There;14/05/19;Level Anisec;1;29.99;09:45;Vienna VIE;12:20;Palma Mall PMI VK6000
2019-05-09;21:18;Austria;Austria;114;There;14/05/19;Eurowings;1;39.99;14:05;Palma Mall PMI;16:20;Linz LNZ
2019-05-09;21:18;Austria;Austria;114;Back;21/05/19;Eurowings;1;59.99;17:20;Linz LNZ;19:35;Palma Mall PMI EW6867
2019-05-09;21:18;Austria;Austria;114;Back;21/05/19;Laudamotion;1;9.99;20:40;Palma Mall PMI;23:00;Vienna VIE
2019-05-09;21:18;Austria;Austria;115;There;19/05/19;Level Anisec;1;54.99;09:10;Vienna VIE;11:40;Palma Mall PMI VK6000
2019-05-09;21:18;Austria;Austria;115;There;19/05/19;Eurowings;1;49.99;13:00;Palma Mall PMI;15:15;Linz LNZ
2019-05-09;21:18;Austria;Austria;115;Back;24/05/19;Eurowings;1;29.99;17:35;Linz LNZ;19:50;Palma Mall PMI EW6867
2019-05-09;21:18;Austria;Austria;115;Back;24/05/19;Laudamotion;1;9.99;22:25;Palma Mall PMI;00:45;Vienna VIE
2019-05-09;21:18;Austria;Austria;116;There;17/05/19;Laudamotion;1;66.29;05:30;Vienna VIE;07:55;Palma Mall PMI OE500
2019-05-09;21:18;Austria;Austria;116;There;17/05/19;Eurowings;1;39.99;14:30;Palma Mall PMI;16:45;Linz LNZ
2019-05-09;21:18;Austria;Austria;116;Back;24/05/19;Eurowings;1;29.99;17:35;Linz LNZ;19:50;Palma Mall PMI EW6867
